Model,CV Accuracy,CV Precision,CV Recall,CV F1 Score
SGDClassifier,0.8789999999999999,0.8780712321521623,0.8808,0.8792290619015409
KNN,0.5238400000000001,0.5342016221548788,0.5987199999999999,0.5372814010048984
RandomForest,0.83532,0.8427761758563133,0.82456,0.8334483975422253
