Model,Accuracy,Precision,Recall,F1 Score
SGDClassifier,0.88152,0.8731611893583725,0.89272,0.8828322784810126
KNN,0.5346,0.525132198268348,0.72296,0.6083678346628968
RandomForest,0.8396,0.8496705107084019,0.8252,0.8372564935064936
